"filename", "language", "Batch", "Properties", "Groovy", "XML", "Java", "comment", "blank", "total"
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\fragment_calendar.xml", "XML", 0, 0, 0, 919, 0, 0, 66, 985
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\layout_item_view.xml", "XML", 0, 0, 0, 44, 0, 0, 6, 50
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\layout_listview.xml", "XML", 0, 0, 0, 72, 0, 0, 10, 82
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\layout_listview_a.xml", "XML", 0, 0, 0, 57, 0, 0, 11, 68
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\layout_recyclerview.xml", "XML", 0, 0, 0, 12, 0, 0, 3, 15
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\layout_reminders.xml", "XML", 0, 0, 0, 132, 0, 0, 21, 153
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\layout_reminders_item.xml", "XML", 0, 0, 0, 89, 0, 0, 18, 107
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\layout_timeline.xml", "XML", 0, 0, 0, 78, 0, 0, 20, 98
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\layout_tomato.xml", "XML", 0, 0, 0, 46, 0, 0, 4, 50
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\login_activity.xml", "XML", 0, 0, 0, 98, 0, 0, 14, 112
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\reminder_add_layout.xml", "XML", 0, 0, 0, 74, 0, 0, 11, 85
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\reminder_edit_item.xml", "XML", 0, 0, 0, 210, 0, 0, 31, 241
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\reminder_new_item.xml", "XML", 0, 0, 0, 213, 0, 13, 31, 257
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\setting_layout.xml", "XML", 0, 0, 0, 288, 0, 0, 42, 330
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\layout\start_activity.xml", "XML", 0, 0, 0, 15, 0, 0, 2, 17
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\menu\reminders_menu.xml", "XML", 0, 0, 0, 11, 0, 0, 2, 13
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\transition\slide.xml", "XML", 0, 0, 0, 4, 0, 0, 1, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 5, 0, 0, 1, 6
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\values\dimens.xml", "XML", 0, 0, 0, 2, 0, 1, 1, 4
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\values\ic_launcher_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 4
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 46, 0, 0, 2, 48
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 9, 0, 4, 5, 18
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\test\java\com\example\chronus\ExampleUnitTest.java", "Java", 0, 0, 0, 0, 9, 5, 3, 17
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\build.gradle", "Groovy", 0, 0, 25, 0, 0, 4, 8, 37
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\gradle.properties", "Properties", 0, 1, 0, 0, 0, 12, 3, 16
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 5, 0, 0, 0, 1, 1, 7
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\gradlew.bat", "Batch", 61, 0, 0, 0, 0, 0, 24, 85
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\settings.gradle", "Groovy", 0, 0, 1, 0, 0, 0, 1, 2
"Total", "-", 61, 6, 57, 3458, 4834, 797, 1487, 10700
